Month,BSI,central_line_days
1998-01,5,843
1998-02,5,752
1998-03,2,796
1998-04,4,809
1998-05,6,798
1998-06,3,774
1998-07,5,850
1998-08,7,775
1998-09,4,874
1998-10,3,776
1998-11,9,840
1998-12,7,886
1999-01,2,679
1999-02,4,728
1999-03,2,734
1999-04,4,768
1999-05,4,727
1999-06,4,623
1999-07,5,633
1999-08,3,798
1999-09,3,727
1999-10,3,662
1999-11,6,732
1999-12,8,793
2000-01,3,894
2000-02,4,803
2000-03,5,810
2000-04,6,751
2000-05,4,838
2000-06,3,795
2000-07,3,838
2000-08,9,847
2000-09,5,860
2000-10,2,796
2000-11,5,840
2000-12,4,753
2001-01,3,733
2001-02,6,729
2001-03,3,627
2001-04,2,786
2001-05,4,797
2001-06,7,761
2001-07,5,833
2001-08,3,737
2001-09,7,695
2001-10,2,812
2001-11,2,731
2001-12,5,878
2002-01,1,816
2002-02,2,911
2002-03,2,882
2002-04,4,786
2002-05,3,991
2002-06,6,910
2002-07,3,862
2002-08,2,878
2002-09,4,913
2002-10,1,862
2002-11,3,594
2002-12,2,879
2003-01,4,816
2003-02,3,857
2003-03,5,885
2003-04,5,945
2003-05,3,790
2003-06,1,938
2003-07,3,868
2003-08,4,919
2003-09,6,910
2003-10,4,896
2003-11,3,767
2003-12,4,836
2004-01,2,983
2004-02,2,882
2004-03,1,908
2004-04,3,980
2004-05,2,992
2004-06,4,973
2004-07,7,886
2004-08,3,873
2004-09,2,1040
2004-10,5,960
2004-11,1,949
2004-12,5,935
2005-01,4,666
2005-02,3,861
2005-03,6,772
2005-04,3,775
2005-05,4,896
2005-06,3,884
2005-07,4,945
2005-08,3,744
2005-09,2,865
2005-10,2,945
2005-11,2,675
2005-12,4,702
2006-01,4,807
2006-02,6,771
2006-03,4,943
2006-04,3,1007
2006-05,6,1069
2006-06,4,1051
2006-07,1,822
2006-08,3,1141
2006-09,4,859
2006-10,1,946
2006-11,3,887
2006-12,4,920
2007-01,2,1008
2007-02,4,1000
2007-03,3,982
2007-04,7,998
2007-05,5,925
2007-06,1,923
2007-07,6,781
2007-08,4,938
2007-09,3,922
2007-10,3,1317
2007-11,6,817
2007-12,4,1002
