"","x"
"0.05",8472249.03883289
"0.1",8765204.32850048
"0.15",8614647.73158931
"0.2",8440205.23481802
"0.25",8498753.70655523
"0.3",8495119.66509252
"0.35",8468690.13372598
"0.4",8329339.8552149
"0.45",8464166.06032659
"0.5",8592623.07885354
"0.55",8316657.43483274
"0.6",8606952.78109371
"0.65",8653780.99066093
"0.7",8400645.39785546
"0.75",8598029.14990756
"0.8",8214380.57876817
"0.85",8299776.07002492
"0.9",8240245.59809363
"0.95",8369780.91898147
"1",8461133.67432714
"1.05",8376635.072285
"1.1",8251070.78920711
"1.15",8451030.58968622
"1.2",8362439.25806658
"1.25",8531450.21716212
"1.3",8535452.2863982
"1.35",8124328.43412976
"1.4",8399149.30444117
"1.45",8410162.48227878
"1.5",8254644.56629956
"1.55",8239707.01820372
"1.6",8363043.71638498
"1.65",8272264.6588407
"1.7",8207969.26403217
"1.75",8391015.25120029
"1.8",8341358.48218427
"1.85",8131496.03697534
"1.9",8188631.40391213
"1.95",8228705.45397757
"2",8125044.10758038
"2.05",8298429.51211278
"2.1",8306283.9169045
"2.15",8446791.2640463
"2.2",8113009.89651071
"2.25",8300521.26134721
"2.3",8250407.07342906
"2.35",8125891.00794197
"2.4",8262556.48230309
"2.45",8300964.28323784
"2.5",8222038.71105533
"2.55",8225292.22368115
"2.6",8250598.03654229
"2.65",8225279.4239815
"2.7",8243361.52018901
"2.75",8174201.47969059
"2.8",8358585.12121243
"2.85",8180711.44091843
"2.9",8470431.66438549
"2.95",8170135.88616587
"3",8024872.13525101
"3.05",8094939.48040367
"3.1",8104239.22986911
"3.15",8306693.99374978
"3.2",8199844.1260248
"3.25",8249828.53596235
"3.3",8261297.21184368
"3.35",8291997.96884788
"3.4",8191646.58182689
"3.45",8338925.38782634
"3.5",8277173.20862558
"3.55",7953818.06563334
"3.6",8165858.33281253
"3.65",8177558.58431333
"3.7",8070827.48215839
"3.75",8093872.1718449
"3.8",8207472.9239956
"3.85",8075035.6792716
"3.9",7990384.8178819
"3.95",8151746.82424324
"4",8261485.66952915
"4.05",8098555.81023155
"4.1",7949584.75052538
"4.15",8061155.13225335
"4.2",7949694.88883239
"4.25",8125449.40370228
"4.3",8126687.05921714
"4.35",8036333.55702313
"4.4",7998305.25135863
"4.45",8160967.84814329
"4.5",8149132.04653217
"4.55",8163572.83504634
"4.6",8224737.19815948
"4.65",8174376.32258533
"4.7",8391619.35574657
"4.75",8288677.25939985
"4.8",8050393.05207684
"4.85",8083927.02363917
"4.9",8311415.77639713
"4.95",8010274.4785877
"5",8342240.29188864
"5.05",7955890.02946582
"5.1",8107683.77100092
"5.15",8180246.93031031
"5.2",8216987.99263546
"5.25",8317077.0714714
"5.3",8138282.75885745
"5.35",8210756.95165561
"5.4",8282216.12182237
"5.45",8068625.44032775
"5.5",8160549.33317232
"5.55",8179831.98909513
"5.6",8127903.68145427
"5.65",8352554.33366419
"5.7",8130950.58868198
"5.75",8013298.69176736
"5.8",8471984.88373657
"5.85",8183951.27226478
"5.9",8293447.52931816
"5.95",8243672.03915947
"6",8342608.0302132
"6.05",8273375.11862656
"6.1",8050676.22435802
"6.15",8327276.29006395
"6.2",8152248.04934989
"6.25",8403037.40162388
"6.3",8339224.97255145
"6.35",8091531.69882451
"6.4",8238141.68073171
"6.45",8163503.34362717
"6.5",7983756.55206266
"6.55",8245683.86084854
"6.6",8260990.96557329
"6.65",8451581.03956563
"6.7",8494057.01570317
"6.75",8263547.24512546
"6.8",8125907.39069598
"6.85",8042109.630714
"6.9",8346529.02814033
"6.95",8041042.7302896
"7",8348593.41507284
"7.05",8194881.92602757
"7.1",8388751.01424515
"7.15",8212533.85739575
"7.2",8162594.19000987
"7.25",8312197.44730635
"7.3",8357917.86812097
"7.35",8040746.43519934
"7.4",8317270.20296899
"7.45",8171053.10666856
"7.5",8285048.71494865
"7.55",8414095.61646097
"7.6",8243224.35547346
"7.65",8236977.5403875
"7.7",8171095.98981164
"7.75",8019182.63636335
"7.8",8164981.20952971
"7.85",8071462.76712204
"7.9",8043752.51148232
"7.95",8276318.96570941
"8",8565370.12264845
"8.05",8093816.29065057
"8.1",8251016.27232899
"8.15",8302753.64642192
"8.2",7988130.15028057
"8.25",8412776.64452694
"8.3",8148194.69920133
"8.35",8233192.69261309
"8.4",8316678.02201837
"8.45",8101703.99786015
"8.5",8473823.7217522
"8.55",8063912.62786432
"8.6",8103600.16064433
"8.65",8070072.7180565
"8.7",8390471.30561615
"8.75",8160534.34223043
"8.8",8245220.53454701
"8.85",8434840.21597081
"8.9",8140261.46350279
"8.95",8124512.06999143
"9",8256928.14222886
"9.05",8284559.2548295
"9.1",8215411.9555846
"9.15",8268648.16259441
"9.2",8099718.98176758
"9.25",8387819.95056663
"9.3",8489315.53919487
"9.35",8289498.16710633
"9.4",8294531.24821392
"9.45",8324862.51313539
"9.5",8485400.38622357
"9.55",8283655.57627769
"9.6",8170960.12386408
"9.65",8222905.24757524
"9.7",8302795.2940948
"9.75",8648011.92138801
"9.8",8005979.04446837
"9.85",8116520.16957131
"9.9",8337475.51858651
"9.95",8107494.5281768
"10",8462461.17057382
"10.05",8137815.24718812
"10.1",8226236.69414279
"10.15",8456693.29605136
"10.2",8149157.39037058
"10.25",8141733.56090588
"10.3",8210292.27055985
"10.35",8153924.8212498
"10.4",8097241.00008815
"10.45",8017396.73168514
"10.5",8321715.81324921
"10.55",8191267.63472874
"10.6",8191058.27778284
"10.65",8237878.94873657
"10.7",8370668.75464882
"10.75",8032952.72020084
"10.8",7951698.06770489
"10.85",8183418.9318979
"10.9",8148974.1036204
"10.95",8210590.56311217
"11",8011166.89662558
"11.05",7950636.53120791
"11.1",8018688.94309873
"11.15",8176141.29585749
"11.2",8046443.35648433
"11.25",7943202.60080425
"11.3",7925523.29180757
"11.35",7982354.66014913
"11.4",8138914.77469428
"11.45",8042771.13327946
"11.5",7973677.18799036
"11.55",8020857.04837343
"11.6",7993567.71505103
"11.65",8129714.11721192
"11.7",7845257.34934946
"11.75",8149186.01843401
"11.8",8005930.49760018
"11.85",7852803.25624899
"11.9",7914105.90872661
"11.95",7860184.60701912
"12",7957607.7492128
"12.05",7873001.03991871
"12.1",8150813.15860333
"12.15",8312856.20554339
"12.2",7934386.80970161
"12.25",8144062.49742222
"12.3",8545536.1963909
"12.35",8766729.91977733
"12.4",9025420.63466327
"12.45",9204241.2122003
"12.5",9478872.10738307
"12.55",10768440.509852
"12.6",12593240.9474601
"12.65",26828174.0309684
"12.7",58619689.7838038
"12.75",105064279.172895
"12.8",119102973.423333
"12.85",125298545.202162
"12.9",122661895.102456
"12.95",114871618.509438
"13",112413009.424258
"13.05",109497306.954976
"13.1",108459088.600217
"13.15",106985437.842414
"13.2",104535257.458359
"13.25",106686971.69525
"13.3",106772874.367215
"13.35",110675024.377402
"13.4",118708187.064184
"13.45",126819887.367638
"13.5",137184788.618018
"13.55",140055263.476533
"13.6",153497827.707383
"13.65",165640364.39444
"13.7",179805281.714915
"13.75",194789656.288629
"13.8",192982222.477143
"13.85",204343031.961857
"13.9",211995384.039835
"13.95",217595407.834629
"14",221765470.793304
"14.05",227172435.209509
"14.1",233476028.825818
"14.15",239052610.174992
"14.2",248775830.219933
"14.25",257328422.362161
"14.3",259059992.301089
"14.35",266055528.469928
"14.4",275301012.765294
"14.45",284616802.535093
"14.5",289666000.485434
"14.55",291218175.939173
"14.6",296836384.6685
"14.65",299276365.007663
"14.7",308169309.153734
"14.75",311228591.788839
"14.8",318811970.190001
"14.85",326579857.059123
"14.9",329533499.638189
"14.95",333531753.102793
"15",334643232.412033
"15.05",338372747.506354
"15.1",341036047.507023
"15.15",341458810.298179
"15.2",349321106.61553
"15.25",354426258.995984
"15.3",350752042.928356
"15.35",355310739.133637
"15.4",361488432.958895
"15.45",365402499.813296
"15.5",362275261.248358
"15.55",358574252.653226
"15.6",362770884.911716
"15.65",367008612.56619
"15.7",364586359.215119
"15.75",363720911.564225
"15.8",367125569.690355
"15.85",371071009.622322
"15.9",371241806.775341
"15.95",371892767.776319
"16",368578821.021774
"16.05",366090101.47173
"16.1",367855189.011066
"16.15",372849694.593663
"16.2",371601646.191606
"16.25",373532055.076388
"16.3",378355545.461619
"16.35",368698647.312683
"16.4",372146972.614978
"16.45",369732490.147854
"16.5",374302803.855513
"16.55",374266337.516264
"16.6",370861028.456404
"16.65",370020595.379567
"16.7",377616107.187529
"16.75",374991132.235058
"16.8",377831886.575921
"16.85",372166267.201529
"16.9",373547040.196945
"16.95",373447988.504332
"17",378362543.865797
"17.05",374783821.534674
"17.1",376519281.621462
"17.15",372877965.992222
"17.2",370598786.804479
"17.25",371165462.210264
"17.3",374971077.665296
"17.35",373970590.276485
