"retention_time_ms","total_ion_chromatogram"
2501.378,702528
2502.943,703356
2504.508,720814
2506.073,729618
2507.638,732938
2509.203,736349
2510.767,733297
2512.332,743050
2513.897,742163
2515.462,752445
2517.027,758886
2518.592,764305
2520.157,762476
2521.722,765135
2523.287,757751
2524.852,749649
2526.417,757876
2527.982,759354
2529.547,760973
2531.112,766933
2532.677,771405
2534.242,767754
2535.807,758142
2537.372,763185
2538.937,769314
2540.502,765630
2542.067,766313
2543.632,770964
2545.196,767167
2546.761,778992
2548.326,778112
2549.891,765261
2551.456,758273
2553.021,762107
2554.586,765927
2556.151,758868
2557.716,764129
2559.281,750983
2560.846,750245
2562.411,758919
2563.976,767850
2565.541,765971
2567.106,772092
2568.671,770468
2570.236,772963
2571.801,765563
2573.366,763630
2574.931,758376
2576.496,767765
2578.06,769254
2579.625,775470
2581.19,784928
2582.755,803258
2584.32,832106
2585.885,868118
2587.45,903698
2589.015,938062
2590.58,983722
2592.145,1005877
2593.71,1031590
2595.275,1048090
2596.84,1050120
2598.405,1051190
2599.97,1038352
2601.535,1027336
2603.1,1011542
2604.665,986333
2606.23,970319
2607.795,954597
2609.36,936446
2610.925,916336
2612.489,903677
2614.054,888511
2615.619,880094
2617.184,869639
2618.749,856713
2620.314,846249
2621.879,834712
2623.444,827065
2625.009,820164
2626.574,817713
2628.139,805916
2629.704,796225
2631.269,793169
2632.834,794242
2634.399,797059
2635.964,798591
2637.529,799580
2639.094,816430
2640.659,823204
2642.224,831936
2643.789,841210
2645.353,849162
2646.918,868596
2648.483,902684
2650.048,952262
2651.613,1021637
2653.178,1112434
2654.743,1237543
2656.308,1378529
2657.873,1524380
2659.438,1647082
2661.003,1738488
2662.568,1809203
2664.133,1855759
2665.698,1882977
2667.263,1895797
2668.828,1911345
2670.393,1942672
2671.958,1981063
2673.523,2054776
2675.088,2154360
2676.653,2263770
2678.218,2384697
2679.782,2496578
2681.347,2609265
2682.912,2686756
2684.477,2725562
2686.042,2733142
2687.607,2720248
2689.172,2703753
